target,feature,weight
y,55,-585.102826136339
y,tranquila,-586.3521716143787
y,triunfo,-592.2758885761264
y,pasqualini,-594.7320658812532
y,neves,-604.1320399444321
y,senhora,-610.6525860252805
y,65,-621.6507233237207
y,saidas,-626.4629757764633
y,85,-626.5082650169206
y,igreja,-627.4680427258281
y,zona,-629.4045274284872
y,palacio,-633.4662284693713
y,rotativo,-633.7457908800279
y,martins,-641.4077888509491
y,toda,-643.1664410779485
y,42,-649.6336928695855
y,imovel,-650.3772557908087
y,40,-651.181802262081
y,camoes,-652.4602986541577
y,anchieta,-654.6493232852663
y,casal,-655.7622436739039
y,casa,-657.2531964638765
y,alfandega,-658.7565009687096
y,dona,-660.3284469904893
y,partenon,-662.1256059918232
y,todas,-662.3431251242655
y,armelin,-669.8938172726776
y,confeitaria,-669.8938172726776
y,52,-675.0417409916299
y,43,-683.7693175739842
y,corretor,-686.483117629502
y,estrada,-686.4876014678448
y,54,-687.2996001546562
y,leonardo,-689.0616686976282
y,maravilhosa,-693.6386301647144
y,109,-710.9119283517139
y,mauricio,-712.9217745146598
y,pecanha,-713.6430504102609
y,31,-715.0582189994057
y,fit,-717.6255471208679
y,estante,-718.6527095818124
y,104,-720.1421035397889
y,tenis,-720.6873791310863
y,atendimento,-723.9214686155483
y,bourboun,-724.6924390308232
y,contra,-725.1222289860016
y,incendio,-725.1222289860016
y,cameras,-725.8140044466709
y,58,-728.5982345582306
y,escolas,-729.9096595489809
y,pombal,-741.1334806211526
y,frigobar,-742.8864521544601
y,acesso,-743.3065174782969
y,pucrs,-752.3204507756418
y,alberto,-759.6180045911442
